523,SKD,YOMART MM SUKAMANDI,,,,10
524,OIT,YOMART MM OTISTA_GARUT,,,,10
525,CKT,YOMART MM CIBEUNYING KOLOT,,,,10
526,PRE,YOMART MM PLERED 2,,,,10
527,KRN,YOMART MM KARAPITAN,,,,10
533,GBU,YOMART MM GUNUNG BATU,,,,10
534,KBG,YOMART MM KI BLEDUG,,,,10
535,RCA,YOMART MM RANCAEKEK 3,,,,10
536,SNN,YOMART MM SINGAPARNA 3,,,,10
537,CST,YOMART MM CISAAT 1,,,,10
538,CDU,YOMART MM CIDAHU,,,,10
539,CAL,YOMART MM CIATEUL,,,,10
540,MWI,YOMART MM MEKAR WANGI,,,,10
542,CNN,YOMART MM CINAGEN,,,,10
543,BNG,YOMART MM BINONG_SUBANG,,,,10
544,PRT,YOMART MM PELABUHAN RATU 2,,,,10
545,PDU,YOMART MM PELABUHAN_SUKABUMI,,,,10
546,JHP,YOMART MM JATI HANDAP,,,,10
547,AYP,YOMART MM A YANI_PURWAKARTA,,,,10
548,PJI,YOMART MM PASIR JATI,,,,10
549,CP4,YOMART MM CIPARAY 4,,,,10
550,RBD,YOMART MM RIUNG BANDUNG,,,,10
551,CW3,YOMART MM CIWASTRA 3,,,,10
552,DD3,YOMART MM DANGDEUR 3,,,,10
553,CKN,YOMART MM CISARANTEN KULON,,,,10
554,HGR,YOMART MM H GOFUR,,,,10
556,BPA,YOMART MM BOJONG_PURWAKARTA,,,,10
557,CGG,YOMART MM CIGENDING,,,,10
558,SDA,YOMART MM SINDANGLAYA,,,,10
559,NGG,YOMART MM NAGROG,,,,10
560,PN3,YOMART MM PANGANDARAN 3,,,,10
561,CSN,YOMART MM CISURUPAN_GARUT,,,,10
562,LLG,YOMART MM LELES_GARUT,,,,10
563,CLT,YOMART MM CILUNCAT,,,,10
564,PRS,YOMART MM PERUMNAS SUBANG,,,,10
565,WCG,YOMART MM WARUNG CONTONG,,,,10
566,LGT,YOMART MM LIMBANGAN _GARUT,,,,10
567,KKI,YOMART MM KEBON KOPI,,,,10
568,CGI,YOMART MM CIGANITRI,,,,10
569,PSH,YOMART MM PASEH,,,,10
570,CRS,YOMART MM CARINGIN_SUKABUMI,,,,10
571,CMG,YOMART MM CIMAUNG,,,,10
572,CKR,YOMART MM CIKUTRA 2,,,,10
573,NEH,YOMART MM NATA ENDAH,,,,10
574,SK2,YOMART MM SUKAMANDI 2,,,,10
575,PB2,YOMART MM PEMBANGUNAN 2,,,,10
576,HPG,YOMART MM HAMPOR GARUT,,,,10
577,MLG,YOMART MM MALANGBONG,,,,10
578,KRK,YOMART MM KIANGROKE_BANJARAN,,,,10
579,CSS,YOMART MM CISALAK_SUBANG,,,,10
580,RPG,YOMART MM RANCAPANGGUNG,,,,10
581,BJI,YOMART MM BANJARSARI,,,,10
582,KTH,YOMART MM KARANG TENGAH_SUKABUMI,,,,10
584,BTL,YOMART MM BATUNUNGGAL,,,,10
585,PD2,YOMART MM PADASUKA 2,,,,10
586,SKG,YOMART MM SUKAWENING_GARUT,,,,10
587,AYG,YOMART MM AHMAD YANI_GARUT,,,,10
588,KAN,YOMART MM KAYU AMBON,,,,10
589,KWI,YOMART MM KAWALI,,,,10
590,SYG,YOMART MM SAYANG,,,,10
601,GBH,YOMART MM GRIYA BANDUNG INDAH,,,,10
603,RCE,YOMART MM RANCAEKEK 2,,,,10
608,PLP,YOMART MM PAHLAWAN PWK ,,,,10
610,CKG,YOMART MM CIKAJANG,,,,10
611,CTG,YOMART MM CITAMIANG,,,,10
612,SPG,YOMART MM SIMPANG_PWK,,,,10
614,MDA,YOMART MM MERDEKA_GARUT,,,,10
615,SMS,YOMART MM SIMPANG MAS,,,,10
616,CBG,YOMART MM CIBOLERANG,,,,10
617,TCI,YOMART MM TAMAN CIBADUYUT,,,,10
692,DKT,YOMART MM DAYEUH KOLOT,,,,10
693,DGO,YOMART MM DAGO,,,,10
694,CBU,YOMART MM CIBIRU 1,,,,10
696,WNA,YOMART MM WANARAJA,,,,10
697,BYG,YOMART MM BAYONGBONG,,,,10
700,ISA,YOMART MM ISOLA,,,,10
701,KWN,YOMART MM KAWALUYAAN,,,,10
702,TJA,YOMART MM TANJUNGKERTA,,,,10
703,KTI,YOMART MM KERTASARI,,,,10
705,SKU,YOMART MM SUKAMAJU,,,,10
706,SLI,YOMART MM SILIWANGI,,,,10
707,PBN,YOMART MM PEMBANGUNAN,,,,10
710,CMU,YOMART MM CIMANUK 2,,,,10
714,AYN,YOMART MM AHMAD YANI 2_GARUT,,,,10
715,VTN,YOMART MM VETERAN_PWK,,,,10
716,CK2,YOMART MM CIKAJANG 2,,,,10
717,CKE,YOMART MM CIKONENG_CIAMIS,,,,10
718,KTG,YOMART MM KWITANG,,,,10
719,CPP,YOMART MM CIPARAY 3,,,,10
721,CHI,YOMART MM CIHUNI WANARAJA,,,,10
725,CMN,YOMART MM CIMANUK 3,,,,10
731,JLR,YOMART MM JATILUHUR,,,,10
734,BRA,YOMART MM BARATAYUDHA_GARUT,,,,10
735,SNL,YOMART MM SENTRAL_CIMAHI,,,,10
742,DAA,YOMART MM DJUANDA_CIANJUR,,,,10
743,WKA,YOMART MM WIJAYA KUSUMA_BOGOR,,,,10
752,PDR,YOMART MM PADALARANG 3,,,,10
594,TJY,YOMART MM TANJUNGLAYA,,,,10
595,KSS,YOMART MM KASOMALANG_SUBANG,,,,10
596,LG2,YOMART MM LIMBANGAN 2,,,,10
597,WN2,YOMART MM WANARAJA 2,,,,10
591,CBP,YOMART MM COBLONG_PURWAKARTA,,,,10
592,DGB,YOMART XPRESS DAGO BAKERY,,,,10
312,XYU,XPRESS ST. YUSUP,,,,10
593,PRD,YOMART MM PLERED 1,,,,10
